,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
365739,30200111006563,3020011100656,3020011100,656,3,1247,대전광역시,유성구,봉명동,302003167046.0,온천북로,39.0,0.0
365740,30200111006567,3020011100656,3020011100,656,7,2651,대전광역시,유성구,봉명동,302003167046.0,온천북로,47.0,0.0
365741,30200111006625,3020011100662,3020011100,662,5,41860,대전광역시,유성구,봉명동,302003167023.0,문화원로,129.0,0.0
365742,30200111006632,3020011100663,3020011100,663,2,7878,대전광역시,유성구,봉명동,302004301444.0,한밭대로492번길,26.0,28.0
366070,301701120010870,30170112001087,3017011200,1087,0,64811,대전광역시,서구,둔산동,301704298170.0,대덕대로185번길,58.0,0.0
362476,30140119006906,3014011900690,3014011900,690,6,128,대전광역시,중구,안영동,301404295428.0,뿌리공원로7번길,25.0,0.0
362477,30140119006911,3014011900691,3014011900,691,1,2208,대전광역시,중구,안영동,301403000093.0,대둔산로,200.0,0.0
362478,30140119006922,3014011900692,3014011900,692,2,2530,대전광역시,중구,안영동,-,-,-,-
362479,30140119006951,3014011900695,3014011900,695,1,11348,대전광역시,중구,안영동,301404295082.0,대둔산로184번길,27.0,0.0
362480,30140119006955,3014011900695,3014011900,695,5,676,대전광역시,중구,안영동,301404295082.0,대둔산로184번길,29.0,0.0
362481,30140119006966,3014011900696,3014011900,696,6,3821,대전광역시,중구,안영동,301404295426.0,뿌리공원로23번길,54.0,0.0
365748,30200111006762,3020011100676,3020011100,676,2,17043,대전광역시,유성구,봉명동,302003167023.0,문화원로,138.0,0.0
365747,30200111006757,3020011100675,3020011100,675,7,6183,대전광역시,유성구,봉명동,302004301153.0,문화원로146번길,8.0,17.0
365746,30200111006753,3020011100675,3020011100,675,3,8290,대전광역시,유성구,봉명동,302004301153.0,문화원로146번길,8.0,25.0
365745,30200111006683,3020011100668,3020011100,668,3,435,대전광역시,유성구,봉명동,302004301444.0,한밭대로492번길,15.0,0.0
365744,30200111006663,3020011100666,3020011100,666,3,53,대전광역시,유성구,봉명동,302003167023.0,문화원로,145.0,0.0
365743,30200111006634,3020011100663,3020011100,663,4,6790,대전광역시,유성구,봉명동,302004301444.0,한밭대로492번길,16.0,32.0
365750,30200111006773,3020011100677,3020011100,677,3,8015,대전광역시,유성구,봉명동,302003167023.0,문화원로,152.0,0.0
362489,30140120002470,3014012000247,3014012000,247,0,326,대전광역시,중구,무수동,-,-,-,-
362487,3014012000950,301401200095,3014012000,95,0,631,대전광역시,중구,무수동,301404295526.0,운남로85번길,32.0,18.0
362486,30140119006995,3014011900699,3014011900,699,5,1696,대전광역시,중구,안영동,301403165018.0,뿌리공원로,27.0,0.0
362485,301401190069613,3014011900696,3014011900,696,13,529,대전광역시,중구,안영동,301404295426.0,뿌리공원로23번길,10.0,0.0
362484,301401190069611,3014011900696,3014011900,696,11,537,대전광역시,중구,안영동,301404295082.0,대둔산로184번길,55.0,0.0
362483,301401190069610,3014011900696,3014011900,696,10,1134,대전광역시,중구,안영동,301404295082.0,대둔산로184번길,57.0,0.0
362482,30140119006967,3014011900696,3014011900,696,7,283,대전광역시,중구,안영동,301404295082.0,대둔산로184번길,71.0,0.0
362488,30140120002350,3014012000235,3014012000,235,0,68,대전광역시,중구,무수동,-,-,-,-
366071,301701120011010,30170112001101,3017011200,1101,0,11211,대전광역시,서구,둔산동,301704298170.0,대덕대로185번길,49.0,0.0
366153,301401170014415,3014011700144,3014011700,144,15,1033,대전광역시,중구,산성동,301403165047.0,문화로,29.0,3.0
366073,301701120011100,30170112001110,3017011200,1110,0,119340,대전광역시,서구,둔산동,301702010001.0,대덕대로,179.0,0.0
362074,30170108004236,3017010800423,3017010800,423,6,2619,대전광역시,서구,괴정동,-,-,-,-
362073,30170108004141,3017010800414,3017010800,414,1,1714,대전광역시,서구,괴정동,301703166004.0,갈마로,154.0,0.0
362072,301701080041322,3017010800413,3017010800,413,22,2960,대전광역시,서구,괴정동,301702010001.0,대덕대로,69.0,1.0
362071,301701080036717,3017010800367,3017010800,367,17,89,대전광역시,서구,괴정동,-,-,-,-
362070,30170108003580,3017010800358,3017010800,358,0,917,대전광역시,서구,괴정동,-,-,-,-
362069,30170108002664,3017010800266,3017010800,266,4,23,대전광역시,서구,괴정동,301704298300.0,동서대로997번길,57.0,0.0
362068,30170108001361,3017010800136,3017010800,136,1,23318,대전광역시,서구,괴정동,301703166004.0,갈마로,186.0,0.0
362075,301701080042311,3017010800423,3017010800,423,11,5866,대전광역시,서구,괴정동,301704298242.0,도산로369번길,58.0,0.0
362067,301701080013523,3017010800135,3017010800,135,23,2470,대전광역시,서구,괴정동,301703166004.0,갈마로,178.0,0.0
362065,30170108001358,3017010800135,3017010800,135,8,965,대전광역시,서구,괴정동,301703166004.0,갈마로,182.0,0.0
362064,301701080013010,3017010800130,3017010800,130,10,2635,대전광역시,서구,괴정동,301703166004.0,갈마로,168.0,0.0
362063,301701080012817,3017010800128,3017010800,128,17,2631,대전광역시,서구,괴정동,301703166012.0,괴정로,4.0,0.0
362062,30170108001287,3017010800128,3017010800,128,7,3590,대전광역시,서구,괴정동,301703166004.0,갈마로,169.0,0.0
362061,30140106003692,3014010600369,3014010600,369,2,668,대전광역시,중구,문창동,301403165007.0,대전천서로,257.0,0.0
362060,301401060036818,3014010600368,3014010600,368,18,476,대전광역시,중구,문창동,-,-,-,-
367437,30170103001131,3017010300113,3017010300,113,1,1742,대전광역시,서구,도마동,301703166028.0,배재로,106.0,0.0
362066,301701080013511,3017010800135,3017010800,135,11,934,대전광역시,서구,괴정동,301703166004.0,갈마로,184.0,12.0
367438,301701030011816,3017010300118,3017010300,118,16,22,대전광역시,서구,도마동,301704298253.0,도솔5길,41.0,0.0
362076,301701080042312,3017010800423,3017010800,423,12,3725,대전광역시,서구,괴정동,301704298272.0,도솔로388번길,44.0,0.0
